chromosome,fitness
47,0
30,8
273,0
45,31
266,1
57,7
521,16
519,0
44,54
98,33
276,1368000
78,1336000
39,44
268,3
265,9
69,50
135,1344000
46,23
29,16
133,28
23,29
288,38
519,0
27,14
516,54
320,13
290,7
57,7
552,1
75,4
268,3
138,5
47,0
88,5
98,33
88,5
259,22
290,7
136,36
27,14
548,16
320,13
88,5
517,31
102,4
134,20
258,45
268,3
524,10
19,58
524,10
515,29
289,15
137,13
145,4
101,12
70,42
266,1
273,0
522,8
148,1336000
545,22
112,11
23,29
137,13
290,7
292,9
576,20
47,0
273,0
265,9
131,26
268,3
138,5
60,1
104,20
259,22
88,5
60,1
259,22
140,7
18,81
112,11
134,20
529,7
548,16
57,7
47,0
48,74
266,1
75,4
133,28
259,22
266,1
292,9
266,1
26,37
532,1
68,73
96,64
6,105
532,1
259,22
71,19
290,7
292,9
256,76
28,39
552,1
23,29
272,23
100,35
73,35
522,8
145,4
522,8
529,7
75,4
292,9
60,1
137,13
57,7
72,58
273,0
77,6
75,4
136,36
529,7
88,5
290,7
290,7
47,0
521,16
522,8
140,7
160,42
77,6
60,1
268,3
514,52
70,42
519,0
42,52
532,1
17,89
145,4
56,30
138,5
288,38
23,29
290,7
138,5
522,8
77,6
101,12
519,0
162,11
69,50
288,38
521,16
266,1
104,20
264,32
266,1
60,1
161,19
268,3
290,7
261,24
43,29
552,1
524,10
101,12
5,113
288,38
84,20
88,5
546,14
522,8
30,8
522,8
51,20
266,1
26,37
18,81
162,11
27,14
528,30
132,51
57,7
576,20
104,20
45,31
101,12
264,32
532,1
289,15
77,6
102,4
144,27
131,26
18,81
288,38
529,7
136,36
552,1
134,20
288,38
134,20
552,1
290,7
50,43
524,10
524,10
528,30
514,52
576,20
70,42
29,16
532,1
529,7
133,28
60,1
532,1
60,1
273,0
576,20
131,26
290,7
137,13
71,19
102,4
57,7
82,18
290,7
47,0
60,1
292,9
289,15
144,27
145,4
548,16
519,0
545,22
56,30
133,28
10,90
545,22
145,4
265,9
47,0
39,44
133,28
47,0
260,47
164,13
41,60
529,7
27,14
532,1
138,5
264,32
43,29
138,5
28,39
140,7
268,3
27,14
268,3
81,26
22,52
49,51
273,0
273,0
30,8
9,98
57,7
54,14
260,47
520,39
72,58
138,5
576,20
104,20
273,0
519,0
266,1
268,3
47,0
552,1
1,142
57,7
145,4
60,1
529,7
290,7
44,54
35,73
273,0
265,9
