remaining_obj,ac_weight,knapsack,ac_weight,knapsack,ac_weight,knapsack,ac_weight,total_fitness
0, 16464, 1, 6815781, 2, 8594432, 3, 1350538, 2732563
0, 10748416, 1, 178501, 2, 524312, 3, 5325986, 3532164
0, 7997840, 1, 36928, 2, 8716292, 3, 26155, 2732563
0, 1523712, 1, 8390149, 2, 4204816, 3, 2658538, 2732563
0, 3407872, 1, 83988, 2, 9044897, 3, 4240458, 2732563
0, 8405056, 1, 4916228, 2, 3178753, 3, 277178, 2732563
0, 4237344, 1, 1245188, 2, 17152, 3, 11277531, 2732563
0, 8714384, 1, 2621700, 2, 5441089, 3, 42, 2732563
0, 3153921, 1, 4754532, 2, 8405376, 3, 463386, 2732563
0, 527808, 1, 5571076, 2, 10506289, 3, 172042, 2732563
0, 1142928, 1, 4458304, 2, 9078788, 3, 2097195, 2732563
0, 9987216, 1, 65541, 2, 4195104, 3, 2529354, 2732563
0, 41504, 1, 2162880, 2, 4999428, 3, 9573403, 2732563
0, 1639776, 1, 2131969, 2, 12866068, 3, 139402, 2732563
0, 1315617, 1, 639168, 2, 8388612, 3, 6433818, 2732563
0, 7344336, 1, 8454400, 2, 174085, 3, 804394, 2732563
0, 10564096, 1, 395473, 2, 524324, 3, 5293322, 2732563
0, 2237184, 1, 646209, 2, 5505204, 3, 8388618, 2732563
0, 608401, 1, 13664864, 2, 275716, 3, 2228234, 2732563
0, 6299648, 1, 9885716, 2, 525281, 3, 66570, 2732563
0, 8208, 1, 14027777, 2, 87012, 3, 2654218, 2732563
0, 33344, 1, 9044228, 2, 5253120, 3, 2446523, 2732563
0, 4195456, 1, 2257696, 2, 1900549, 3, 8423514, 2732563
0, 68625, 1, 8544484, 2, 7372800, 3, 791306, 2732563
0, 10715264, 1, 1052724, 2, 544320, 3, 4464907, 2732563
0, 2232577, 1, 4278464, 2, 8913428, 3, 1352746, 2732563
0, 2884608, 1, 13769376, 2, 32836, 3, 90395, 2732563
0, 2230656, 1, 13709317, 2, 558688, 3, 278554, 2732563
0, 10486992, 1, 1597440, 2, 4625189, 3, 67594, 2732563
0, 3290481, 1, 5079044, 2, 8407552, 3, 138, 2732563
0, 2982720, 1, 5246996, 2, 11264, 3, 8536235, 2732563
0, 4529440, 1, 8953877, 2, 3162816, 3, 131082, 2732563
0, 10504256, 1, 4203524, 2, 196993, 3, 1872442, 2732563
0, 2942080, 1, 8389381, 2, 5308416, 3, 137338, 2732563
0, 4194560, 1, 278660, 2, 589824, 3, 11714171, 2732563
0, 4325888, 1, 12096512, 2, 344549, 3, 10266, 2732563
0, 553216, 1, 32, 2, 3211781, 3, 13012186, 2732563
0, 570544, 1, 6293509, 2, 8716352, 3, 1196810, 2732563
0, 22592, 1, 66048, 2, 263476, 3, 16425099, 2732563
0, 344224, 1, 8922372, 2, 5247553, 3, 2263066, 2732563
0, 4297232, 1, 1028, 2, 2113569, 3, 10365386, 2732563
0, 12715776, 1, 3252240, 2, 542820, 3, 266379, 2732563
0, 8407088, 1, 1225472, 2, 4785220, 3, 2359435, 2732563
0, 8487104, 1, 787988, 2, 3166241, 3, 4335882, 2732563
0, 9438401, 1, 6373376, 2, 145700, 3, 819738, 2732563
0, 14270976, 1, 265348, 2, 143729, 3, 2097162, 2732563
0, 8388656, 1, 4030788, 2, 144896, 3, 4212875, 2732563
0, 2425313, 1, 4100, 2, 4877328, 3, 9470474, 2732563
0, 1065344, 1, 10748004, 2, 631808, 3, 4332059, 2732563
0, 14975264, 1, 18949, 2, 1770560, 3, 12442, 2732563
0, 1049104, 1, 13304001, 2, 2422820, 3, 1290, 2732563
0, 9057, 1, 5064704, 2, 1174, 3, 11702280, 3532164
0, 2117504, 1, 9437185, 2, 995444, 3, 4227082, 2732563
0, 2106144, 1, 9077956, 2, 5574657, 3, 18458, 2732563
0, 15812768, 1, 163856, 2, 533061, 3, 267530, 2732563
0, 4259856, 1, 8417440, 2, 2523973, 3, 1575946, 2732563
0, 8405648, 1, 2625825, 2, 1387588, 3, 4358154, 2732563
0, 8390656, 1, 729104, 2, 50404, 3, 7607051, 2732563
