chromosome,fitness
41,60
75,4
532,1
76,29
75,4
29,16
99,10
30,8
76,29
134,20
28,39
145,4
82,18
519,0
545,22
576,20
75,4
30,8
47,0
548,16
576,20
138,5
528,30
77,6
102,4
266,1
140,7
60,1
136,36
39,44
17,89
99,10
515,29
76,29
21,60
292,9
289,15
292,9
133,28
71,19
21,60
88,5
53,22
30,8
292,9
102,4
259,22
265,9
102,4
516,54
519,0
50,43
102,4
258,45
518,23
264,32
13,69
522,8
268,3
524,10
45,31
76,29
35,73
524,10
112,11
192,17
132,51
72,58
261,24
265,9
77,6
47,0
262,16
273,0
137,13
145,4
528,30
18,81
289,15
576,20
81,26
545,22
522,8
60,1
77,6
260,47
546,14
131,26
131,26
60,1
39,44
13,69
519,0
60,1
162,11
102,4
53,22
104,20
29,16
524,10
288,38
262,16
29,16
137,13
19,58
77,6
54,14
76,29
42,52
15,38
548,16
88,5
262,16
272,23
552,1
292,9
133,28
262,16
112,11
99,10
266,1
129,57
259,22
44,54
104,20
70,42
60,1
84,20
14,61
136,36
192,17
145,4
262,16
261,24
140,7
88,5
137,13
273,0
264,32
47,0
272,23
88,5
77,6
528,30
99,10
77,6
161,19
266,1
320,13
144,27
47,0
98,33
60,1
30,8
140,7
30,8
546,14
102,4
101,12
57,7
528,30
28,39
529,7
51,20
19,58
47,0
42,52
100,35
548,16
292,9
546,14
47,0
104,20
104,20
290,7
164,13
102,4
266,1
162,11
519,0
519,0
101,12
22,52
292,9
162,11
140,7
576,20
529,7
71,19
75,4
140,7
268,3
75,4
51,20
289,15
140,7
261,24
272,23
73,35
26,37
519,0
521,16
60,1
138,5
546,14
273,0
26,37
513,60
60,1
81,26
546,14
6,105
82,18
515,29
56,30
140,7
273,0
545,22
132,51
522,8
37,75
98,33
40,83
264,32
138,5
102,4
529,7
101,12
52,45
71,19
99,10
66,71
82,18
54,14
112,11
88,5
519,0
259,22
290,7
74,27
81,26
140,7
67,48
76,29
266,1
56,30
518,23
77,6
98,33
272,23
290,7
66,71
54,14
524,10
47,0
290,7
273,0
529,7
76,29
145,4
265,9
134,20
519,0
273,0
273,0
266,1
524,10
54,14
290,7
45,31
100,35
74,27
52,45
520,39
131,26
133,28
102,4
292,9
54,14
145,4
138,5
75,4
521,16
60,1
88,5
262,16
320,13
532,1
88,5
516,54
47,0
144,27
134,20
47,0
532,1
290,7
262,16
530,1328000
75,4
529,7
