chromosome,fitness
29226,51
27209,53
26243,59
10287,132
1518,41
2995,27
25195,6
3706,9
1889,189
22583,13
23330,38
9682,85
5303,42
18677,17
29731,57
6614,8
20236,46
18203,11
29904,21
10859,13
5303,42
2937,24
18038,5
18873,6
18902,3
5610,3
14740,53
22289,49
7396,64
7632,48
23656,35
11591,1
10423,36
24893,18
23571,67
30248,14
22581,86
23114,53
7736,57
21171,3
18873,6
17695,40
22404,30
23840,107
15808,12
10978,69
10067,3
6957,4
3531,22
5050,15
9375,46
22025,149
17848,79
9645,16
15524,36
12537,14
17870,8
20304,31
10066,73
21330,66
21317,74
18653,24
30220,24
25938,59
18189,89
4542,44
17711,35
21086,7
4909,117
17071,43
22464,17
25197,2
29092,41
19014,171
20718,14
17726,23
19238,76
3527,25
19688,56
12761,3
3694,14
25286,72
22575,15
5590,11
13012,68
2747,45
16859,43
31496,0
6989,1
31489,10
12540,7
1973,26
11415,13
22178,45
6393,19
20068,47
23633,50
17758,20
22619,7
21591,13
6515,22
18115,87
8669,41
5694,20
11921,57
20080,42
20815,27
10030,1
17141,24
5369,22
22796,147
29872,24
1499,53
18885,88
3699,19
30340,10
17259,26
12726,6
18916,71
4639,147
14562,60
30994,31
10900,160
26434,35
1788,24
17595,34
15688,26
26732,65
10910,7
5573,96
30739,59
5542,96
8814,119
25797,71
21113,0
10713,5
6867,7
18011,19
21595,10
2524,116
27796,36
3555,15
17369,10
10869,7
7373,1
20072,44
24686,105
23619,59
22617,80
13859,71
17967,27
25143,17
13403,12
24088,24
11825,64
10492,9
7953,56
11468,68
29763,54
11547,6
10055,8
18861,11
24100,22
20068,47
9437,29
5787,20
11035,10
27188,47
17259,26
17623,34
10909,10
19139,84
21775,7
13121,153
25320,55
19547,12
31298,15
15048,34
18798,12
9773,102
19905,55
23208,35
28208,14
18035,12
21079,17
12850,169
22161,53
29904,21
28320,2
17255,29
29842,38
9579,24
27916,34
10651,22
23428,27
12637,20
21332,62
12725,9
29104,36
23092,50
14918,58
3287,41
17876,79
21051,17
25987,67
19031,19
24328,8
29848,31
14533,73
15920,19
20883,98
5741,15
27856,23
9566,22
13405,8
7367,8
14890,58
15444,45
13491,1
22147,62
22671,8
11547,6
6741,97
3530,92
24352,1
17007,47
7371,5
17319,25
7255,20
24088,24
10714,2
6605,13
12993,157
17003,124
18105,1
5933,7
27788,38
31489,10
29449,43
23904,17
3802,2
5752,80
20846,10
4858,23
2896,261
29957,42
18218,76
15640,34
9845,10
5451,114
23622,52
23216,33
30866,35
24097,29
6390,19
11059,3
15379,69
19751,2
24999,13
18344,55
17183,44
10423,36
24076,29
21472,40
30340,10
10783,31
12438,191
29090,45
18309,75
18855,18
27174,56
18126,0
9503,42
31244,21
6932,159
30993,34
14613,77
13893,64
29296,32
405,329
12947,92
27402,42
29016,47
21559,16
11888,44
23114,53
27909,44
2022,15
11380,73
3314,101
25753,76
11429,81
26684,73
5091,17
17951,32
18619,31
21146,80
28424,5
14788,45
13596,70
