remaining_obj,ac_weight,knapsack,ac_weight,knapsack,ac_weight,knapsack,ac_weight,total_fitness
0, 16, 1, 641, 2, 64, 3, 302, 170
0, 288, 1, 529, 2, 64, 3, 142, 170
0, 896, 1, 32, 2, 17, 3, 78, 170
0, 544, 1, 64, 2, 272, 3, 143, 170
0, 16, 1, 0, 2, 576, 3, 431, 170
0, 160, 1, 768, 2, 4, 3, 91, 201
0, 512, 1, 256, 2, 217, 3, 38, 201
0, 736, 1, 272, 2, 0, 3, 15, 170
0, 672, 1, 0, 2, 1, 3, 350, 170
0, 609, 1, 128, 2, 16, 3, 270, 170
0, 576, 1, 1, 2, 416, 3, 30, 170
0, 0, 1, 273, 2, 192, 3, 558, 170
0, 0, 1, 496, 2, 513, 3, 14, 170
0, 0, 1, 577, 2, 288, 3, 158, 170
0, 48, 1, 0, 2, 321, 3, 654, 170
0, 32, 1, 16, 2, 704, 3, 271, 170
0, 33, 1, 656, 2, 64, 3, 270, 170
0, 1, 1, 256, 2, 544, 3, 222, 170
0, 208, 1, 256, 2, 512, 3, 47, 170
0, 80, 1, 545, 2, 128, 3, 270, 170
0, 512, 1, 144, 2, 256, 3, 111, 170
0, 80, 1, 260, 2, 513, 3, 170, 201
0, 1, 1, 576, 2, 304, 3, 142, 170
0, 800, 1, 16, 2, 128, 3, 79, 170
0, 1, 1, 896, 2, 112, 3, 14, 170
0, 448, 1, 16, 2, 512, 3, 47, 170
0, 545, 1, 128, 2, 16, 3, 334, 170
0, 64, 1, 658, 2, 33, 3, 268, 201
0, 1, 1, 96, 2, 528, 3, 398, 170
0, 160, 1, 273, 2, 0, 3, 590, 170
0, 16, 1, 0, 2, 193, 3, 814, 170
0, 0, 1, 224, 2, 256, 3, 543, 170
0, 81, 1, 0, 2, 416, 3, 526, 170
0, 32, 1, 912, 2, 65, 3, 14, 170
0, 288, 1, 512, 2, 16, 3, 207, 170
0, 912, 1, 33, 2, 0, 3, 78, 170
0, 273, 1, 160, 2, 64, 3, 526, 170
0, 641, 1, 96, 2, 16, 3, 270, 170
0, 0, 1, 320, 2, 0, 3, 703, 170
0, 256, 1, 33, 2, 656, 3, 78, 170
0, 128, 1, 369, 2, 512, 3, 14, 170
0, 256, 1, 224, 2, 513, 3, 30, 170
0, 128, 1, 256, 2, 593, 3, 46, 170
0, 1, 1, 248, 2, 768, 3, 6, 201
0, 0, 1, 65, 2, 256, 3, 702, 170
0, 64, 1, 49, 2, 0, 3, 910, 170
0, 129, 1, 564, 2, 320, 3, 10, 201
0, 17, 1, 704, 2, 0, 3, 302, 170
0, 128, 1, 832, 2, 48, 3, 15, 170
0, 0, 1, 384, 2, 577, 3, 62, 170
0, 49, 1, 0, 2, 584, 3, 390, 201
0, 912, 1, 0, 2, 97, 3, 14, 170
0, 192, 1, 32, 2, 529, 3, 270, 170
0, 640, 1, 112, 2, 258, 3, 13, 201
0, 16, 1, 0, 2, 705, 3, 302, 170
0, 0, 1, 897, 2, 80, 3, 46, 170
0, 32, 1, 16, 2, 640, 3, 335, 170
0, 145, 1, 576, 2, 0, 3, 302, 170
0, 320, 1, 32, 2, 640, 3, 31, 170
0, 209, 1, 512, 2, 32, 3, 270, 170
0, 112, 1, 128, 2, 256, 3, 527, 170
0, 817, 1, 0, 2, 128, 3, 78, 170
0, 512, 1, 48, 2, 385, 3, 78, 170
