remaining_obj,ac_weight,knapsack,ac_weight,knapsack,ac_weight,knapsack,ac_weight,total_fitness
0, 4851584, 1, 8650757, 2, 59408, 3, 3215466, 2732563
0, 4260640, 1, 1704068, 2, 12305, 3, 10800202, 2732563
0, 4391040, 1, 8671296, 2, 1089845, 3, 2625034, 2732563
0, 1736736, 1, 4203797, 2, 23168, 3, 10813514, 2732563
0, 2114624, 1, 594433, 2, 5638308, 3, 8429850, 2732563
0, 262912, 1, 10617984, 2, 4802565, 3, 1093754, 2732563
0, 2392448, 1, 1720400, 2, 4259844, 3, 8404523, 2732563
0, 918545, 1, 9448000, 2, 4215204, 3, 2195466, 2732563
0, 5244928, 1, 73984, 2, 10801364, 3, 656939, 2732563
0, 45249, 1, 65540, 2, 11947264, 3, 4719162, 2732563
0, 6819952, 1, 8661248, 2, 50180, 3, 1245835, 2732563
0, 8673792, 1, 4227204, 2, 3350624, 3, 525595, 2732563
0, 280608, 1, 8396868, 2, 1578753, 3, 6520986, 2732563
0, 111105, 1, 8389056, 2, 1443876, 3, 6833178, 2732563
0, 2097408, 1, 13118532, 2, 459280, 3, 1101995, 2732563
0, 524928, 1, 8192, 2, 10556516, 3, 5687579, 2732563
0, 13132160, 1, 2162688, 2, 1213445, 3, 268922, 2732563
0, 8462400, 1, 4587520, 2, 18324, 3, 3708971, 2732563
0, 1048576, 1, 2581000, 2, 4755637, 3, 8392002, 3532164
0, 6569985, 1, 9471696, 2, 532516, 3, 203018, 2732563
0, 10372, 1, 9715776, 2, 2266656, 3, 4784411, 3115308
0, 8667713, 1, 8002608, 2, 8580, 3, 98314, 2732563
0, 6366289, 1, 49280, 2, 662276, 3, 9699370, 2732563
0, 2171136, 1, 5265040, 2, 131084, 3, 9209955, 3532164
0, 4723232, 1, 9636101, 2, 278736, 3, 2139146, 2732563
0, 10817537, 1, 1082964, 2, 680352, 3, 4196362, 2732563
0, 8929312, 1, 533, 2, 4587840, 3, 3259530, 2732563
0, 82065, 1, 4332576, 2, 1311556, 3, 11051018, 2732563
0, 3182624, 1, 8389380, 2, 4590737, 3, 614474, 2732563
0, 248224, 1, 4984836, 2, 10485779, 3, 1058376, 3532164
0, 2098304, 1, 10060384, 2, 4468740, 3, 149787, 2732563
0, 133696, 1, 13124612, 2, 340112, 3, 3178795, 2732563
0, 10690816, 1, 5120, 2, 4491381, 3, 1589898, 2732563
0, 12848448, 1, 98817, 2, 2637956, 3, 1191994, 2732563
0, 12733633, 1, 1081360, 2, 2368036, 3, 594186, 2732563
0, 10503569, 1, 4985440, 2, 4, 3, 1288202, 2732563
0, 1097797, 1, 2434320, 2, 13238400, 3, 6698, 3115308
0, 4395328, 1, 27799, 2, 819744, 3, 11534344, 3532164
0, 1183761, 1, 12682756, 2, 551008, 3, 2359690, 2732563
0, 9900032, 1, 2097744, 2, 4246564, 3, 532875, 2732563
0, 3178128, 1, 655429, 2, 33056, 3, 12910602, 2732563
0, 1483137, 1, 543844, 2, 8458752, 3, 6291482, 2732563
0, 1246000, 1, 4728004, 2, 2131969, 3, 8671242, 2732563
0, 4198401, 1, 2099984, 2, 656388, 3, 9822442, 2732563
0, 279296, 1, 5343232, 2, 8925412, 3, 2229275, 2732563
0, 8742945, 1, 4227136, 2, 3670532, 3, 136602, 2732563
0, 4197888, 1, 8585348, 2, 2937201, 3, 1056778, 2732563
0, 524321, 1, 8525844, 2, 7709056, 3, 17994, 2732563
0, 1208400, 1, 4292865, 2, 787076, 3, 10488874, 2732563
0, 549008, 1, 12979236, 2, 103233, 3, 3145738, 2732563
0, 86544, 1, 10912992, 2, 1057029, 3, 4720650, 2732563
0, 9437713, 1, 4445184, 2, 2629700, 3, 264618, 2732563
0, 794880, 1, 4380305, 2, 10487812, 3, 1114218, 2732563
0, 2388225, 1, 196640, 2, 4227284, 3, 9965066, 2732563
0, 144544, 1, 589825, 2, 311812, 3, 15731034, 2732563
0, 835776, 1, 308, 2, 9439232, 3, 6501899, 2732563
0, 624176, 1, 8520004, 2, 4221056, 3, 3411979, 2732563
0, 4523265, 1, 2113744, 2, 535044, 3, 9605162, 2732563
0, 4686176, 1, 2104848, 2, 9437316, 3, 548875, 2732563
0, 657216, 1, 9715760, 2, 110596, 3, 6293643, 2732563
0, 132096, 1, 544772, 2, 5286784, 3, 10813563, 2732563
0, 557312, 1, 9445392, 2, 2574373, 3, 4200138, 2732563
0, 8465, 1, 9503748, 2, 6588448, 3, 676554, 2732563
0, 74305, 1, 2375828, 2, 8913920, 3, 5413162, 2732563
0, 1052928, 1, 9323136, 2, 6398053, 3, 3098, 2732563
0, 92160, 1, 37136, 2, 13501124, 3, 3146795, 2732563
0, 786688, 1, 20624, 2, 2198084, 3, 13771819, 2732563
0, 6312273, 1, 204800, 2, 1048612, 3, 9211530, 2732563
0, 2130081, 1, 12714004, 2, 547584, 3, 1385546, 2732563
0, 10035856, 1, 68, 2, 4196640, 3, 2544651, 2732563
0, 598672, 1, 4342784, 2, 8656933, 3, 3178826, 2732563
0, 8422400, 1, 332112, 2, 6826533, 3, 1196170, 2732563
0, 13369344, 1, 35012, 2, 1115656, 3, 2257203, 3532164
0, 8454160, 1, 4981121, 2, 2103332, 3, 1238602, 2732563
0, 6328737, 1, 10297876, 2, 2112, 3, 148490, 2732563
0, 1835280, 1, 8392389, 2, 16384, 3, 6533162, 2732563
0, 2114432, 1, 10095620, 2, 77904, 3, 4489259, 2732563
0, 8520192, 1, 578580, 2, 2163105, 3, 5515338, 2732563
0, 266608, 1, 11734145, 2, 25092, 3, 4751370, 2732563
0, 17488, 1, 2236928, 2, 14520485, 3, 2314, 2732563
0, 4235268, 1, 11534977, 2, 151856, 3, 855114, 3115308
0, 1181888, 1, 4228656, 2, 798724, 3, 10567947, 2732563
0, 3180544, 1, 4195088, 2, 8802372, 3, 599211, 2732563
0, 8430912, 1, 4853925, 2, 3164176, 3, 328202, 2732563
0, 7341952, 1, 294944, 2, 8403028, 3, 737291, 2732563
0, 2107728, 1, 628384, 2, 5636101, 3, 8405002, 2732563
0, 144160, 1, 2097152, 2, 9964565, 3, 4571338, 2732563
0, 2097472, 1, 256005, 2, 1835136, 3, 12588602, 2732563
0, 2107408, 1, 8459424, 2, 5538629, 3, 671754, 2732563
0, 49856, 1, 8399156, 2, 6292481, 3, 2035722, 2732563
0, 265489, 1, 1126528, 2, 15220772, 3, 164426, 2732563
0, 4196368, 1, 3179877, 2, 9240704, 3, 160266, 2732563
0, 722065, 1, 5558340, 2, 10487840, 3, 8970, 2732563
0, 2097153, 1, 13672516, 2, 82832, 3, 924714, 2732563
0, 262401, 1, 655888, 2, 38020, 3, 15820906, 2732563
0, 479761, 1, 13115588, 2, 3181856, 3, 10, 2732563
0, 295072, 1, 7348804, 2, 5393, 3, 9127946, 2732563
0, 512, 1, 12339380, 2, 233472, 3, 4203851, 2732563
0, 180224, 1, 6704, 2, 12394820, 3, 4195467, 2732563
0, 1574592, 1, 186372, 2, 4194320, 3, 10821931, 2732563
0, 11018256, 1, 5412609, 2, 2084, 3, 344266, 2732563
0, 2114608, 1, 4198784, 2, 10258500, 3, 205323, 2732563
0, 1118816, 1, 4490500, 2, 10510481, 3, 657418, 2732563
0, 135248, 1, 14190593, 2, 345380, 3, 2105994, 2732563
0, 6296704, 1, 8527889, 2, 297732, 3, 1654890, 2732563
0, 65600, 1, 1182005, 2, 13156864, 3, 2372746, 2732563
0, 2139264, 1, 4194817, 2, 8736852, 3, 1706282, 2732563
0, 8126528, 1, 8390400, 2, 80037, 3, 180250, 2732563
0, 2097664, 1, 14487828, 2, 148704, 3, 43019, 2732563
0, 1099824, 1, 12584000, 2, 73988, 3, 3019403, 2732563
0, 4313361, 1, 9707552, 2, 2098308, 3, 657994, 2732563
0, 4763665, 1, 11681988, 2, 265984, 3, 65578, 2732563
0, 1671201, 1, 4203780, 2, 415872, 3, 10486362, 2732563
0, 4366449, 1, 2429956, 2, 1591808, 3, 8389002, 2732563
0, 4268112, 1, 8571137, 2, 2888708, 3, 1049258, 2732563
0, 4497424, 1, 84129, 2, 655620, 3, 11540042, 2732563
0, 331792, 1, 5267620, 2, 8422464, 3, 2755339, 2732563
0, 11045248, 1, 5513268, 2, 21504, 3, 197195, 2732563
0, 1196288, 1, 5048832, 2, 8421429, 3, 2110666, 2732563
0, 2097664, 1, 581696, 2, 4261284, 3, 9836571, 2732563
0, 787552, 1, 11747332, 2, 4195201, 3, 47130, 2732563
0, 2662656, 1, 4259892, 2, 1311808, 3, 8542859, 2732563
0, 1068032, 1, 5050480, 2, 8422277, 3, 2236426, 2732563
0, 4468976, 1, 3672576, 2, 8619012, 3, 16651, 2732563
0, 58513, 1, 11665920, 2, 68, 3, 5052714, 2732563
0, 14945409, 1, 1196352, 2, 528916, 3, 106538, 2732563
0, 10490113, 1, 2064, 2, 5555780, 3, 729258, 2732563
0, 2203777, 1, 526336, 2, 13899332, 3, 147770, 2732563
0, 8392801, 1, 2425600, 2, 5260308, 3, 698506, 2732563
0, 8405264, 1, 1901568, 2, 4235269, 3, 2235114, 2732563
0, 10496784, 1, 4215013, 2, 1442816, 3, 622602, 2732563
0, 9585776, 1, 792581, 2, 2196224, 3, 4202634, 2732563
0, 8487184, 1, 524417, 2, 287812, 3, 7477802, 2732563
0, 8455168, 1, 7869108, 2, 321793, 3, 131146, 2732563
0, 837808, 1, 10617860, 2, 5247041, 3, 74506, 2732563
0, 8520192, 1, 2195776, 2, 274485, 3, 5786762, 2732563
0, 14615265, 1, 2114580, 2, 33024, 3, 14346, 2732563
0, 5476609, 1, 8884, 2, 8408064, 3, 2883658, 2732563
0, 1093632, 1, 787649, 2, 10488068, 3, 4407866, 2732563
0, 4628480, 1, 2099488, 2, 1660116, 3, 8389131, 2732563
0, 1722576, 1, 12587013, 2, 304928, 3, 2162698, 2732563
0, 8388609, 1, 4985632, 2, 3399684, 3, 3290, 2732563
0, 9703553, 1, 4787028, 2, 2237472, 3, 49162, 2732563
0, 819968, 1, 1051649, 2, 14876884, 3, 28714, 2732563
0, 4274192, 1, 2933572, 2, 9569313, 3, 138, 2732563
0, 4195392, 1, 10174608, 2, 2340, 3, 2404875, 2732563
0, 5392513, 1, 2892372, 2, 8458496, 3, 33834, 2732563
0, 2102800, 1, 9455904, 2, 4333636, 3, 884875, 2732563
0, 8407216, 1, 2195968, 2, 798981, 3, 5375050, 2732563
0, 44176, 1, 4456736, 2, 8405061, 3, 3871242, 2732563
0, 6160400, 1, 66917, 2, 8398976, 3, 2150922, 2732563
0, 12067968, 1, 393236, 2, 4233248, 3, 82763, 2732563
0, 549028, 1, 6391873, 2, 4624, 3, 9831690, 3115308
0, 386096, 1, 6293504, 2, 8388613, 3, 1709002, 2732563
0, 283760, 1, 14811140, 2, 1057280, 3, 625035, 2732563
0, 8389124, 1, 660513, 2, 4317568, 3, 3410010, 3115308
0, 5768448, 1, 10498801, 2, 278532, 3, 231434, 2732563
0, 9979424, 1, 4489216, 2, 2175380, 3, 133195, 2732563
0, 1346176, 1, 4330532, 2, 8978705, 3, 2121802, 2732563
0, 616512, 1, 135312, 2, 13665029, 3, 2360362, 2732563
0, 278945, 1, 10494544, 2, 4948996, 3, 1054730, 2732563
0, 11067440, 1, 65796, 2, 5643393, 3, 586, 2732563
0, 4259841, 1, 9569280, 2, 2898596, 3, 49498, 2732563
0, 1795073, 1, 8390916, 2, 4227120, 3, 2364106, 2732563
0, 4198400, 1, 8988289, 2, 3457348, 3, 133178, 2732563
0, 4295169, 1, 29840, 2, 10617156, 3, 1835050, 2732563
0, 8384, 1, 104704, 2, 15467044, 3, 1197083, 2732563
0, 9241024, 1, 5268484, 2, 37392, 3, 2230315, 2732563
0, 2229793, 1, 606228, 2, 12859840, 3, 1081354, 2732563
0, 462848, 1, 6867284, 2, 8396832, 3, 1050251, 2732563
0, 6571040, 1, 9969668, 2, 196801, 3, 39706, 2732563
0, 4300800, 1, 1708176, 2, 10488133, 3, 280106, 2732563
0, 45312, 1, 14483524, 2, 2230320, 3, 18059, 2732563
0, 12862976, 1, 2297876, 2, 526656, 3, 1089707, 2732563
0, 2932785, 1, 4327488, 2, 9445508, 3, 71434, 2732563
0, 10494016, 1, 5066800, 2, 2052, 3, 1214347, 2732563
0, 15516944, 1, 133632, 2, 4293, 3, 1122346, 2732563
0, 32832, 1, 1060913, 2, 13174660, 3, 2508810, 2732563
0, 12746881, 1, 2434144, 2, 1572868, 3, 23322, 2732563
0, 1248256, 1, 4472896, 2, 10498597, 3, 557466, 2732563
0, 65857, 1, 695808, 2, 2359444, 3, 13656106, 2732563
0, 6292736, 1, 4144, 2, 59973, 3, 10420362, 2732563
0, 1835073, 1, 161040, 2, 2099204, 3, 12681898, 2732563
0, 8657920, 1, 4776401, 2, 2162692, 3, 1180202, 2732563
0, 9519105, 1, 2626688, 2, 435012, 3, 4196410, 2732563
0, 12714560, 1, 99460, 2, 1337616, 3, 2625579, 2732563
0, 4260864, 1, 9708180, 2, 135456, 3, 2672715, 2732563
0, 1577120, 1, 148033, 2, 2107396, 3, 12944666, 2732563
0, 65744, 1, 24576, 2, 2793221, 3, 13893674, 2732563
0, 2164225, 1, 14162304, 2, 84, 3, 450602, 2732563
0, 690208, 1, 11535316, 2, 4194304, 3, 357387, 2732563
0, 147664, 1, 9442564, 2, 4762145, 3, 2424842, 2732563
0, 9372224, 1, 7168, 2, 6291461, 3, 1106362, 2732563
0, 10486592, 1, 602240, 2, 264213, 3, 5424170, 2732563
0, 2114113, 1, 1160224, 2, 788868, 3, 12714010, 2732563
0, 35584, 1, 2498660, 2, 13193232, 3, 1049739, 2732563
0, 1104, 1, 12937221, 2, 2654472, 3, 1184418, 3532164
0, 147729, 1, 9481220, 2, 70304, 3, 7077962, 2732563
0, 27136, 1, 9241601, 2, 7344500, 3, 163978, 2732563
0, 268480, 1, 1115428, 2, 14811664, 3, 581643, 2732563
0, 6424624, 1, 8935104, 2, 106764, 3, 1310723, 3532164
0, 2623648, 1, 1511428, 2, 8406097, 3, 4236042, 2732563
0, 1593344, 1, 2238016, 2, 4292772, 3, 8653083, 2732563
0, 4268544, 1, 12190768, 2, 53252, 3, 264651, 2732563
0, 1085504, 1, 12847492, 2, 2818561, 3, 25658, 2732563
0, 841984, 1, 5242948, 2, 10617473, 3, 74810, 2732563
0, 11077696, 1, 4215076, 2, 1050129, 3, 434314, 2732563
0, 14111441, 1, 2130948, 2, 288, 3, 534538, 2732563
0, 12583425, 1, 876724, 2, 2104320, 3, 1212746, 2732563
0, 11184640, 1, 5, 2, 5263664, 3, 328906, 2732563
0, 2102912, 1, 13664288, 2, 919556, 3, 90459, 2732563
0, 10658481, 1, 265216, 2, 545092, 3, 5308426, 2732563
0, 1000865, 1, 4194372, 2, 2129928, 3, 9452050, 3532164
0, 3211296, 1, 12845125, 2, 586624, 3, 134170, 2732563
0, 8499233, 1, 278784, 2, 5374980, 3, 2624218, 2732563
0, 5252384, 1, 9000976, 2, 294980, 3, 2228875, 2732563
0, 1737216, 1, 14958752, 2, 66564, 3, 14683, 2732563
0, 81920, 1, 9439893, 2, 143680, 3, 7111722, 2732563
0, 2622081, 1, 38144, 2, 4202580, 3, 9914410, 2732563
0, 14963232, 1, 99392, 2, 655364, 3, 1059227, 2732563
0, 9043968, 1, 59748, 2, 17, 3, 7673482, 2732563
0, 8390144, 1, 4721120, 2, 1458180, 3, 2207771, 2732563
0, 1020080, 1, 8388864, 2, 4218949, 3, 3149322, 2732563
0, 4326080, 1, 296992, 2, 549893, 3, 11604250, 2732563
0, 1120384, 1, 40964, 2, 6964241, 3, 8651626, 2732563
0, 18432, 1, 2425156, 2, 665088, 3, 13668539, 2732563
0, 10064, 1, 13307905, 2, 1064996, 3, 2394250, 2732563
0, 11698176, 1, 602384, 2, 18437, 3, 4458218, 2732563
0, 262464, 1, 27780, 2, 12157472, 3, 4329499, 2732563
0, 7381633, 1, 65828, 2, 9048144, 3, 281610, 2732563
0, 656560, 1, 4477184, 2, 8464452, 3, 3179019, 2732563
0, 3281408, 1, 12599348, 2, 590273, 3, 306186, 2732563
0, 2134928, 1, 9437217, 2, 4721732, 3, 483338, 2732563
